year,city,country,city_temp,global_temp
1912,Cairo,Egypt,20.79,8.17
1913,Cairo,Egypt,20.40,8.30
1914,Cairo,Egypt,20.96,8.59
1915,Cairo,Egypt,21.57,8.59
1916,Cairo,Egypt,21.73,8.23
1917,Cairo,Egypt,21.12,8.02
1918,Cairo,Egypt,21.43,8.13
1919,Cairo,Egypt,21.43,8.38
1920,Cairo,Egypt,20.72,8.36
1921,Cairo,Egypt,20.73,8.57
1922,Cairo,Egypt,21.39,8.41
1923,Cairo,Egypt,21.39,8.42
1924,Cairo,Egypt,21.61,8.51
1925,Cairo,Egypt,21.37,8.53
1926,Cairo,Egypt,21.22,8.73
1927,Cairo,Egypt,21.76,8.52
1928,Cairo,Egypt,21.72,8.63
1929,Cairo,Egypt,21.07,8.24
1930,Cairo,Egypt,21.73,8.63
1931,Cairo,Egypt,21.60,8.72
1932,Cairo,Egypt,21.43,8.71
1933,Cairo,Egypt,21.24,8.34
1934,Cairo,Egypt,21.52,8.63
1935,Cairo,Egypt,21.61,8.52
1936,Cairo,Egypt,22.00,8.55
1937,Cairo,Egypt,21.82,8.70
1938,Cairo,Egypt,20.92,8.86
1939,Cairo,Egypt,21.85,8.76
1940,Cairo,Egypt,21.59,8.76
1941,Cairo,Egypt,21.76,8.77
1942,Cairo,Egypt,21.59,8.73
1943,Cairo,Egypt,21.35,8.76
1944,Cairo,Egypt,21.40,8.85
1945,Cairo,Egypt,20.83,8.58
1946,Cairo,Egypt,21.76,8.68
1947,Cairo,Egypt,21.94,8.80
1948,Cairo,Egypt,20.88,8.75
1949,Cairo,Egypt,20.68,8.59
1950,Cairo,Egypt,21.53,8.37
1951,Cairo,Egypt,21.82,8.63
1952,Cairo,Egypt,21.92,8.64
1953,Cairo,Egypt,21.17,8.87
1954,Cairo,Egypt,21.45,8.56
1955,Cairo,Egypt,22.10,8.63
1956,Cairo,Egypt,21.48,8.28
1957,Cairo,Egypt,21.49,8.73
1958,Cairo,Egypt,21.85,8.77
1959,Cairo,Egypt,20.98,8.73
1960,Cairo,Egypt,22.30,8.58
1961,Cairo,Egypt,21.14,8.80
1962,Cairo,Egypt,22.11,8.75
1963,Cairo,Egypt,22.09,8.86
1964,Cairo,Egypt,21.07,8.41
1965,Cairo,Egypt,21.52,8.53
1966,Cairo,Egypt,22.10,8.60
1967,Cairo,Egypt,20.92,8.70
1968,Cairo,Egypt,21.48,8.52
1969,Cairo,Egypt,21.88,8.60
1970,Cairo,Egypt,21.53,8.70
1971,Cairo,Egypt,21.41,8.60
1972,Cairo,Egypt,21.57,8.50
1973,Cairo,Egypt,21.42,8.95
1974,Cairo,Egypt,21.55,8.47
1975,Cairo,Egypt,21.35,8.74
1976,Cairo,Egypt,21.28,8.35
1977,Cairo,Egypt,21.57,8.85
1978,Cairo,Egypt,21.67,8.69
1979,Cairo,Egypt,22.06,8.73
1980,Cairo,Egypt,21.52,8.98
1981,Cairo,Egypt,21.42,9.17
1982,Cairo,Egypt,21.04,8.64
1983,Cairo,Egypt,20.75,9.03
1984,Cairo,Egypt,21.32,8.69
1985,Cairo,Egypt,21.72,8.66
1986,Cairo,Egypt,21.52,8.83
1987,Cairo,Egypt,21.24,8.99
1988,Cairo,Egypt,21.65,9.20
1989,Cairo,Egypt,21.43,8.92
1990,Cairo,Egypt,21.60,9.23
1991,Cairo,Egypt,21.65,9.18
1992,Cairo,Egypt,21.11,8.84
1993,Cairo,Egypt,21.79,8.87
1994,Cairo,Egypt,22.02,9.04
1995,Cairo,Egypt,21.56,9.35
1996,Cairo,Egypt,21.88,9.04
1997,Cairo,Egypt,21.45,9.20
1998,Cairo,Egypt,22.36,9.52
1999,Cairo,Egypt,22.28,9.29
2000,Cairo,Egypt,21.49,9.20
2001,Cairo,Egypt,22.33,9.41
2002,Cairo,Egypt,22.41,9.57
2003,Cairo,Egypt,22.17,9.53
2004,Cairo,Egypt,22.08,9.32
2005,Cairo,Egypt,22.01,9.70
2006,Cairo,Egypt,22.05,9.53
2007,Cairo,Egypt,22.36,9.73
2008,Cairo,Egypt,22.64,9.43
2009,Cairo,Egypt,22.63,9.51
2010,Cairo,Egypt,23.72,9.70
2011,Cairo,Egypt,21.99,9.52
2012,Cairo,Egypt,22.48,9.51
2013,Cairo,Egypt,22.91,9.61
